,FEATURE_NAME,IMPORTANCE
326,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,106
327,CC_CNT_DRAWINGS_ATM_CURRENT_VAR,20
328,CC_CNT_DRAWINGS_CURRENT_MAX,33
329,CC_CNT_DRAWINGS_CURRENT_MEAN,32
330,CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0
331,CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0
332,CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0
333,CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,3
334,CC_CNT_DRAWINGS_POS_CURRENT_MIN,1
335,CC_CNT_DRAWINGS_POS_CURRENT_MAX,23
336,CC_CNT_DRAWINGS_POS_CURRENT_SUM,9
337,CC_CNT_DRAWINGS_POS_CURRENT_VAR,18
338,CC_CNT_INSTALMENT_MATURE_CUM_MIN,0
339,CC_CNT_INSTALMENT_MATURE_CUM_MAX,6
340,CC_CNT_INSTALMENT_MATURE_CUM_MEAN,7
341,CC_CNT_INSTALMENT_MATURE_CUM_VAR,7
342,CC_SK_DPD_MAX,5
343,CC_SK_DPD_DEF_VAR,41
344,CC_NAME_CONTRACT_STATUS_Active_MIN,7
345,CC_NAME_CONTRACT_STATUS_Active_SUM,3
346,CC_NAME_CONTRACT_STATUS_Active_VAR,1
347,CC_NAME_CONTRACT_STATUS_Approved_MEAN,0
348,CC_NAME_CONTRACT_STATUS_Approved_VAR,0
349,CC_NAME_CONTRACT_STATUS_Completed_MIN,0
350,CC_NAME_CONTRACT_STATUS_Completed_MEAN,3
351,CC_NAME_CONTRACT_STATUS_Demand_MAX,0
352,CC_NAME_CONTRACT_STATUS_Refused_MAX,0
353,CC_NAME_CONTRACT_STATUS_Refused_SUM,0
354,CC_NAME_CONTRACT_STATUS_Sent proposal_MEAN,22
355,CC_NAME_CONTRACT_STATUS_Sent proposal_VAR,0
356,CC_NAME_CONTRACT_STATUS_Signed_MIN,0
357,CC_NAME_CONTRACT_STATUS_Signed_MAX,0
358,CC_NAME_CONTRACT_STATUS_Signed_SUM,0
359,CC_COUNT,9
